Price,GPU,ValueRatio,gpuBench,cpuBench
1131,RTX 3050,42.44031830238727,13000,22000
1268,GTX 1660 Ti,48.10725552050473,12000,37000
1377,RTX 3060 Ti,50.108932461873636,19000,31000
1378,RTX 3060,47.16981132075472,17000,31000
1478,RTX 3050,35.182679296346414,13000,26000
1521,RTX 3060 Ti,42.077580539119,19000,26000
1521,RTX 3060 Ti,42.077580539119,19000,26000
1547,RTX 3070 Ti,47.83451842275372,23500,27000
1553,RTX 3060 Ti,41.210560206052804,19000,26000
1660,RTX 3080,43.373493975903614,25000,22000
1690,RTX 3070,44.37869822485207,22000,31000
1710,RTX 3070 Ti,49.12280701754386,23500,37000
1725,RTX 3060 Ti,38.26086956521739,19000,28000
1742,RTX 3080,46.498277841561425,25000,31000
1749,RTX 3070,48.59919954259577,22000,41000
1771,RTX 3070,40.65499717673631,22000,28000
1771,RTX 3070,40.65499717673631,22000,28000
1788,RTX 3070,43.624161073825505,22000,34000
1840,RTX 3060 Ti,39.130434782608695,19000,34000
1872,RTX 3080,43.26923076923077,25000,31000
1872,RTX 3060,32.05128205128205,17000,26000
1879,RTX 3080,41.51144225651942,25000,28000
1892,RTX 3080 Ti,40.169133192389005,27000,22000
1911,RTX 3080,43.956043956043956,25000,34000
1931,RTX 3070 Ti,43.50077679958571,23500,37000
1953,RTX 3070 Ti,41.474654377880185,23500,34000
1989,RTX 3080,43.74057315233786,25000,37000
2002,RTX 3080,41.95804195804196,25000,34000
2044,RTX 3070 Ti,35.714285714285715,23500,26000
2077,RTX 3080,40.4429465575349,25000,34000
2080,RTX 3080,40.38461538461539,25000,34000
2084,RTX 3080,40.30710172744722,25000,34000
2087,RTX 3080,41.68663152850982,25000,37000
2119,RTX 3080,39.64134025483719,25000,34000
2126,RTX 3080 Ti,39.98118532455315,27000,31000
2171,RTX 3090,33.625057577153385,26500,20000
2223,RTX 3080,38.23661718398561,25000,35000
2256,RTX 3080 Ti,40.336879432624116,27000,37000
2275,RTX 3080,36.92307692307692,25000,34000
2340,RTX 3080 Ti,38.888888888888886,27000,37000
2348,RTX 3080 Ti,34.923339011925044,27000,28000
2348,RTX 3080,36.20102214650767,25000,35000
2348,RTX 3080 Ti,34.923339011925044,27000,28000
2393,RTX 3080 Ti,34.26661094860008,27000,28000
2418,RTX 3080,35.153019023986765,25000,35000
2418,RTX 3080,35.153019023986765,25000,35000
2423,RTX 3080 Ti,36.73132480396203,27000,35000
2475,RTX 3080,35.95959595959596,25000,39000
2477,RTX 2080 Ti,33.508276140492534,22000,39000
2483,RTX 3090,35.03826016915022,26500,34000
2498,RTX 3080 Ti,35.62850280224179,27000,35000
2522,RTX 3090,35.68596352101507,26500,37000
2610,RTX 3080 Ti,34.099616858237546,27000,35000
2646,RTX 3090,32.87981859410431,26500,34000
2663,RTX 3080,33.4209538114908,25000,39000
2663,RTX 3080,33.4209538114908,25000,39000
2666,RTX 3090,35.25881470367592,26500,41000
2741,RTX 3090,33.56439255746078,26500,39000
2834,RTX 3090,33.16866619618913,26500,41000
2933,RTX 3080 Ti,31.708148653256053,27000,39000
3081,RTX 3090,26.29016553067186,26500,28000
3081,RTX 3090,26.29016553067186,26500,28000
